decile,total,positivos,score_mean,tasa_positivos,uplift,positivos_acum,total_acum,tasa_acum,uplift_acum
0,143,110,0.8129155467282566,0.7692307692307693,1.5428013453401324,110,143,0.7692307692307693,1.5428013453401324
1,142,93,0.7149728364834103,0.6549295774647887,1.3135541031804367,203,285,0.712280701754386,1.4285799124044243
2,142,88,0.6431415074684778,0.6197183098591549,1.2429329148374024,291,427,0.6814988290398126,1.366842503377452
3,142,73,0.5820620544595954,0.5140845070422535,1.0310693498082997,364,569,0.6397188049209139,1.283046742732778
4,142,73,0.5319062833278476,0.5140845070422535,1.0310693498082997,437,711,0.6146272855133614,1.2327221438645979
5,142,80,0.4803178096027554,0.5633802816901409,1.1299390134885476,517,853,0.6060961313012896,1.2156117048102029
6,142,67,0.42674173783621655,0.47183098591549294,0.9463239237966586,584,995,0.5869346733668341,1.1771806848062598
7,142,54,0.3583016322843475,0.38028169014084506,0.7627088341047696,638,1137,0.5611257695690414,1.1254172698549743
8,142,43,0.2792904388155189,0.3028169014084507,0.6073422197500943,681,1279,0.5324472243940579,1.0678983823531034
9,143,28,0.157352457146693,0.1958041958041958,0.3927130697229428,709,1422,0.49859353023909986,1.0
